"last_name, first_name","player_id","year","player_age","ab","hit","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_total_stolen_base"
"Pujols, Albert","405395","2019","39","491","120","23",".244",".430",".305","0.735","93","3"
"Cabrera, Miguel","408234","2019","36","493","139","12",".282",".398",".346","0.744","59","0"
"Choo, Shin-Soo","425783","2019","36","563","149","24",".265",".455",".371","0.826","61","15"
"Jones, Adam","430945","2019","33","485","126","16",".260",".414",".313","0.727","67","2"
"Cruz Jr., Nelson","443558","2019","38","454","141","41",".311",".639",".392","1.031","108","0"
"Longoria, Evan","446334","2019","33","453","115","20",".254",".437",".325","0.762","69","3"
"Fowler, Dexter","451594","2019","33","487","116","19",".238",".409",".346","0.755","67","8"
"Cabrera, Asdrúbal","452678","2019","33","447","116","18",".260",".441",".342","0.783","91","4"
"Blackmon, Charlie","453568","2019","32","580","182","32",".314",".576",".364","0.940","86","2"
"Cain, Lorenzo","456715","2019","33","562","146","11",".260",".372",".325","0.697","48","18"
"Turner, Justin","457759","2019","34","479","139","27",".290",".509",".372","0.881","67","2"
"Votto, Joey","458015","2019","35","525","137","15",".261",".411",".357","0.768","47","5"
"Gardner, Brett","458731","2019","35","491","123","28",".251",".503",".325","0.828","74","10"
"Braun, Ryan","460075","2019","35","459","131","22",".285",".505",".343","0.848","75","11"
"Gordon, Alex","460086","2019","35","556","148","13",".266",".396",".345","0.741","76","5"
"Andrus, Elvis","462101","2019","30","600","165","12",".275",".393",".313","0.706","72","31"
"Ramos, Wilson","467092","2019","31","473","136","14",".288",".416",".351","0.767","73","1"
"Santana, Carlos","467793","2019","33","573","161","34",".281",".515",".397","0.912","93","4"
"Belt, Brandon","474832","2019","31","526","123","17",".234",".403",".339","0.742","57","4"
"Brantley Jr., Michael","488726","2019","32","575","179","22",".311",".503",".372","0.875","90","3"
"Gurriel, Yuli","493329","2019","35","564","168","31",".298",".541",".343","0.884","104","5"
"Rojas, Miguel","500743","2019","30","483","137","5",".284",".379",".331","0.710","46","9"
"Escobar, Eduardo","500871","2019","30","636","171","35",".269",".511",".320","0.831","118","5"
"Davis, Khris","501981","2019","31","481","106","23",".220",".387",".293","0.680","73","0"
"Pham, Tommy","502054","2019","31","567","155","21",".273",".450",".369","0.819","68","25"
"Martinez, J.D.","502110","2019","31","575","175","36",".304",".557",".383","0.940","105","2"
"Reddick, Josh","502210","2019","32","501","138","14",".275",".409",".319","0.728","56","5"
"Goldschmidt, Paul","502671","2019","31","597","155","34",".260",".476",".346","0.822","97","3"
"Altuve, Jose","514888","2019","29","500","149","31",".298",".550",".353","0.903","74","6"
"Hernández, César","514917","2019","29","612","171","14",".279",".408",".333","0.741","71","9"
"Segura, Jean","516416","2019","29","576","161","12",".280",".420",".323","0.743","60","10"
"Castro, Starlin","516770","2019","29","636","172","22",".270",".436",".300","0.736","86","2"
"Marte, Starling","516782","2019","30","539","159","23",".295",".503",".342","0.845","82","25"
"Donaldson, Josh","518626","2019","33","549","142","37",".259",".521",".379","0.900","94","4"
"Freeman, Freddie","518692","2019","29","597","176","38",".295",".549",".389","0.938","121","6"
"Grandal, Yasmani","518735","2019","30","513","126","28",".246",".468",".380","0.848","77","5"
"Heyward, Jason","518792","2019","29","513","129","21",".251",".429",".343","0.772","62","8"
"LeMahieu, DJ","518934","2019","30","602","197","26",".327",".518",".375","0.893","102","5"
"Moustakas, Mike","519058","2019","30","523","133","35",".254",".516",".329","0.845","87","3"
"Rizzo, Anthony","519203","2019","29","512","150","27",".293",".520",".405","0.925","94","5"
"Galvis, Freddy","520471","2019","29","557","145","23",".260",".438",".296","0.734","70","4"
"García, Avisaíl","541645","2019","28","489","138","20",".282",".464",".332","0.796","72","10"
"Ozuna, Marcell","542303","2019","28","485","117","29",".241",".472",".328","0.800","89","12"
"Villar, Jonathan","542340","2019","28","642","176","24",".274",".453",".339","0.792","73","40"
"Santana, Danny","542454","2019","28","474","134","28",".283",".534",".324","0.858","81","21"
"Crawford, Brandon","543063","2019","32","500","114","11",".228",".350",".304","0.654","59","3"
"Hosmer, Eric","543333","2019","29","619","164","22",".265",".425",".310","0.735","99","0"
"Kipnis, Jason","543401","2019","32","458","112","17",".245",".410",".304","0.714","65","7"
"Rendon, Anthony","543685","2019","29","545","174","34",".319",".598",".412","1.010","126","5"
"Semien, Marcus","543760","2019","28","657","187","33",".285",".522",".369","0.891","92","10"
"Springer III, George","543807","2019","29","479","140","39",".292",".591",".383","0.974","96","6"
"Vázquez, Christian","543877","2019","28","482","133","23",".276",".477",".320","0.797","72","4"
"Wong, Kolten","543939","2019","28","478","136","11",".285",".423",".361","0.784","59","24"
"Garcia, Leury","544725","2019","28","577","161","8",".279",".378",".310","0.688","40","15"
"Grichuk, Randal","545341","2019","27","586","136","31",".232",".457",".280","0.737","80","2"
"Trout, Mike","545361","2019","27","470","137","45",".291",".645",".438","1.083","104","11"
"Harper, Bryce","547180","2019","26","573","149","35",".260",".510",".372","0.882","114","15"
"Abreu, José","547989","2019","32","634","180","33",".284",".503",".330","0.833","123","2"
"Suárez, Eugenio","553993","2019","27","575","156","49",".271",".572",".358","0.930","103","3"
"Santana, Domingo","570267","2019","26","451","114","21",".253",".441",".329","0.770","69","8"
"Sánchez, Yolmer","570560","2019","27","496","125","2",".252",".321",".318","0.639","43","5"
"Arenado, Nolan","571448","2019","28","588","185","41",".315",".583",".379","0.962","118","3"
"Muncy, Max","571970","2019","28","487","122","35",".251",".515",".374","0.889","98","4"
"Voit III, Luke","572228","2019","28","429","113","21",".263",".464",".378","0.842","62","0"
"Walker, Christian","572233","2019","28","529","137","29",".259",".476",".348","0.824","73","8"
"Iglesias, Jose","578428","2019","29","504","145","11",".288",".407",".318","0.725","59","6"
"Bryant, Kris","592178","2019","27","543","153","31",".282",".521",".382","0.903","77","4"
"Castellanos, Nick","592206","2019","27","615","178","27",".289",".525",".337","0.862","73","2"
"Machado, Manny","592518","2019","26","587","150","32",".256",".462",".334","0.796","85","5"
"Moran, Colin","592567","2019","26","466","129","13",".277",".429",".322","0.751","80","0"
"Pederson, Joc","592626","2019","27","450","112","36",".249",".538",".339","0.877","74","1"
"Realmuto, J.T.","592663","2019","28","538","148","25",".275",".493",".328","0.821","83","9"
"Rosario, Eddie","592696","2019","27","562","155","32",".276",".500",".300","0.800","109","3"
"Yelich, Christian","592885","2019","27","489","161","44",".329",".671",".429","1.100","97","30"
"Merrifield, Whit","593160","2019","30","681","206","16",".302",".463",".348","0.811","74","20"
"Bogaerts, Xander","593428","2019","26","614","190","33",".309",".555",".384","0.939","117","4"
"Alberto, Hanser","593643","2019","26","524","160","12",".305",".422",".329","0.751","51","4"
"Polanco, Jorge","593871","2019","25","631","186","22",".295",".485",".356","0.841","79","4"
"Calhoun, Kole","594777","2019","31","552","128","33",".232",".467",".325","0.792","74","4"
"Eaton, Adam","594809","2019","30","566","158","15",".279",".428",".365","0.793","49","15"
"Profar, Jurickson","595777","2019","26","459","100","20",".218",".410",".301","0.711","67","9"
"Báez, Javier","595879","2019","26","531","149","29",".281",".531",".316","0.847","85","11"
"Lindor, Francisco","596019","2019","25","598","170","32",".284",".518",".335","0.853","74","22"
"Odor, Rougned","596059","2019","25","522","107","30",".205",".439",".283","0.722","93","11"
"Story, Trevor","596115","2019","26","588","173","35",".294",".554",".363","0.917","85","23"
"Vogelbach, Daniel","596129","2019","26","462","96","30",".208",".439",".341","0.780","76","0"
"Kepler, Max","596146","2019","26","524","132","36",".252",".519",".336","0.855","90","1"
"Bradley Jr., Jackie","598265","2019","29","494","111","21",".225",".421",".317","0.738","62","8"
"Núñez, Renato","600524","2019","25","541","132","31",".244",".460",".311","0.771","90","1"
"Ahmed, Nick","605113","2019","29","556","141","19",".254",".437",".316","0.753","82","8"
"Anderson, Brian","605119","2019","26","459","120","20",".261",".468",".342","0.810","66","5"
"Bell, Josh","605137","2019","26","527","146","37",".277",".569",".367","0.936","116","0"
"Betts, Mookie","605141","2019","26","597","176","29",".295",".524",".391","0.915","80","16"
"Smith, Mallex","605480","2019","26","510","116","6",".227",".335",".300","0.635","37","46"
"Arcia, Orlando","606115","2019","24","494","110","15",".223",".350",".283","0.633","59","8"
"Marte, Ketel","606466","2019","25","569","187","32",".329",".592",".389","0.981","92","10"
"Turner, Trea","607208","2019","26","521","155","19",".298",".497",".353","0.850","57","35"
"Pillar, Kevin","607680","2019","30","611","158","21",".259",".432",".287","0.719","88","14"
"Ramírez, José","608070","2019","26","482","123","23",".255",".479",".327","0.806","83","24"
"Bregman, Alex","608324","2019","25","554","164","41",".296",".592",".423","1.015","112","5"
"Seager, Corey","608369","2019","25","489","133","19",".272",".483",".335","0.818","87","1"
"Reyes, Franmil","614177","2019","23","494","123","37",".249",".512",".310","0.822","81","0"
"Swanson, Dansby","621020","2019","25","483","121","17",".251",".422",".325","0.747","65","10"
"Newman, Kevin","621028","2019","25","493","152","12",".308",".446",".353","0.799","64","16"
"Olson, Matt","621566","2019","25","483","129","36",".267",".545",".351","0.896","91","0"
"Alonso, Pete","624413","2019","24","597","155","53",".260",".583",".358","0.941","120","1"
"Conforto, Michael","624424","2019","26","549","141","33",".257",".494",".363","0.857","92","7"
"Frazier, Adam","624428","2019","27","554","154","10",".278",".417",".336","0.753","50","5"
"Puig, Yasiel","624577","2019","28","555","148","24",".267",".458",".327","0.785","84","19"
"Soler, Jorge","624585","2019","27","589","156","48",".265",".569",".354","0.923","117","3"
"Meadows, Austin","640457","2019","24","530","154","33",".291",".558",".364","0.922","89","12"
"Anderson, Tim","641313","2019","26","498","167","18",".335",".508",".357","0.865","56","17"
"Bellinger, Cody","641355","2019","23","558","170","47",".305",".629",".406","1.035","115","15"
"Dozier, Hunter","641531","2019","27","523","146","26",".279",".522",".348","0.870","84","2"
"Mancini III, Trey","641820","2019","27","602","175","35",".291",".535",".364","0.899","97","1"
"McMahon, Ryan","641857","2019","24","480","120","24",".250",".450",".329","0.779","83","5"
"Rosario, Amed","642708","2019","23","616","177","15",".287",".432",".323","0.755","72","19"
"Adames, Willy","642715","2019","23","531","135","20",".254",".418",".317","0.735","52","4"
"Benintendi, Andrew","643217","2019","24","541","144","13",".266",".431",".343","0.774","68","10"
"McNeil, Jeff","643446","2019","27","510","162","23",".318",".531",".384","0.915","75","5"
"Albies, Ozzie","645277","2019","22","640","189","24",".295",".500",".352","0.852","86","15"
"Robles, Victor","645302","2019","22","546","139","17",".255",".419",".326","0.745","65","28"
"Devers, Rafael","646240","2019","22","647","201","32",".311",".555",".361","0.916","115","8"
"Jiménez, Eloy","650391","2019","22","468","125","31",".267",".513",".315","0.828","79","0"
"Torres, Gleyber","650402","2019","22","546","152","38",".278",".535",".337","0.872","90","5"
"Chapman, Matt","656305","2019","26","583","145","36",".249",".506",".342","0.848","91","1"
"Hoskins, Rhys","656555","2019","26","570","129","29",".226",".454",".364","0.818","85","2"
"Schwarber, Kyle","656941","2019","26","529","132","38",".250",".531",".339","0.870","92","2"
"DeJong, Paul","657557","2019","25","583","136","30",".233",".444",".318","0.762","78","9"
"Moncada, Yoán","660162","2019","24","511","161","25",".315",".548",".367","0.915","79","10"
"Acuña Jr., Ronald","660670","2019","21","626","175","41",".280",".518",".365","0.883","101","37"
"Fletcher, David","664058","2019","25","596","173","6",".290",".384",".350","0.734","49","8"
"Guerrero Jr., Vladimir","665489","2019","20","464","126","15",".272",".433",".339","0.772","69","0"
"Soto, Juan","665742","2019","20","542","153","34",".282",".548",".401","0.949","110","12"
"Reynolds, Bryan","668804","2019","24","491","154","16",".314",".503",".377","0.880","68","3"
"Cabrera, Miguel","408234","2020","37","204","51","10",".250",".417",".329","0.746","35","1"
"Cruz Jr., Nelson","443558","2020","39","185","56","16",".303",".595",".397","0.992","33","0"
"Peralta, David","444482","2020","32","203","61","5",".300",".433",".339","0.772","34","1"
"Longoria, Evan","446334","2020","34","193","49","7",".254",".425",".297","0.722","28","0"
"Cabrera, Asdrúbal","452678","2020","34","190","46","8",".242",".447",".305","0.752","31","0"
"Blackmon, Charlie","453568","2020","33","221","67","6",".303",".448",".356","0.804","42","2"
"Solano, Donovan","456781","2020","32","190","62","3",".326",".463",".365","0.828","29","0"
"McCutchen, Andrew","457705","2020","33","217","55","10",".253",".433",".324","0.757","34","4"
"Votto, Joey","458015","2020","36","186","42","11",".226",".446",".354","0.800","22","0"
"Santana, Carlos","467793","2020","34","206","41","8",".199",".350",".349","0.699","30","0"
"Brantley Jr., Michael","488726","2020","33","170","51","5",".300",".476",".364","0.840","22","2"
"Gurriel, Yuli","493329","2020","36","211","49","6",".232",".384",".274","0.658","22","0"
"Escobar, Eduardo","500871","2020","31","203","43","4",".212",".335",".270","0.605","20","1"
"Martinez, J.D.","502110","2020","32","211","45","7",".213",".389",".291","0.680","27","1"
"Reddick, Josh","502210","2020","33","188","46","4",".245",".378",".316","0.694","23","1"
"Goldschmidt, Paul","502671","2020","32","191","58","6",".304",".466",".417","0.883","21","1"
"Gonzalez, Marwin","503556","2020","31","175","37","5",".211",".320",".286","0.606","22","0"
"Altuve, Jose","514888","2020","30","192","42","5",".219",".344",".286","0.630","18","2"
"Hernández, César","514917","2020","30","233","66","3",".283",".408",".355","0.763","20","0"
"Segura, Jean","516416","2020","30","192","51","7",".266",".422",".347","0.769","25","2"
"Marte, Starling","516782","2020","31","228","64","6",".281",".430",".340","0.770","27","10"
"Freeman, Freddie","518692","2020","30","214","73","13",".341",".640",".462","1.102","53","2"
"Grandal, Yasmani","518735","2020","31","161","37","8",".230",".422",".351","0.773","27","0"
"LeMahieu, DJ","518934","2020","31","195","71","10",".364",".590",".421","1.011","27","3"
"Rizzo, Anthony","519203","2020","30","203","45","11",".222",".414",".342","0.756","24","3"
"Flores, Wilmer","527038","2020","28","198","53","12",".268",".515",".315","0.830","32","1"
"García, Avisaíl","541645","2020","29","181","43","2",".238",".326",".333","0.659","15","1"
"Ozuna, Marcell","542303","2020","29","228","77","18",".338",".636",".431","1.067","56","0"
"Villar, Jonathan","542340","2020","29","185","43","2",".232",".292",".301","0.593","15","16"
"Aguilar, Jesús","542583","2020","30","188","52","8",".277",".457",".352","0.809","34","0"
"Crawford, Brandon","543063","2020","33","172","44","8",".256",".465",".326","0.791","28","1"
"Grossman, Robbie","543257","2020","30","166","40","8",".241",".482",".344","0.826","23","8"
"Hicks, Aaron","543305","2020","30","169","38","6",".225",".414",".379","0.793","21","4"
"Rendon, Anthony","543685","2020","30","189","54","9",".286",".497",".418","0.915","31","0"
"Semien, Marcus","543760","2020","29","211","47","7",".223",".374",".305","0.679","23","4"
"Springer III, George","543807","2020","30","189","50","14",".265",".540",".359","0.899","32","1"
"Vázquez, Christian","543877","2020","29","173","49","7",".283",".457",".344","0.801","23","4"
"Wong, Kolten","543939","2020","29","181","48","1",".265",".326",".350","0.676","16","5"
"Gregorius, Didi","544369","2020","30","215","61","10",".284",".488",".339","0.827","40","3"
"Grichuk, Randal","545341","2020","28","216","59","12",".273",".481",".312","0.793","35","1"
"Trout, Mike","545361","2020","28","199","56","17",".281",".603",".390","0.993","46","1"
"Ruiz, Rio","547004","2020","26","185","41","9",".222",".427",".286","0.713","32","1"
"Harper, Bryce","547180","2020","27","190","51","13",".268",".542",".420","0.962","33","8"
"Abreu, José","547989","2020","33","240","76","19",".317",".617",".370","0.987","60","0"
"Suárez, Eugenio","553993","2020","28","198","40","15",".202",".470",".312","0.782","38","2"
"González, Erik","570481","2020","28","181","41","3",".227",".359",".255","0.614","20","2"
"Arenado, Nolan","571448","2020","29","182","46","8",".253",".434",".303","0.737","26","0"
"Muncy, Max","571970","2020","29","203","39","12",".192",".389",".331","0.720","27","1"
"Myers, Wil","571976","2020","29","198","57","15",".288",".606",".353","0.959","40","2"
"Pollock, AJ","572041","2020","32","196","54","16",".276",".566",".314","0.880","34","2"
"Seager, Kyle","572122","2020","32","203","49","9",".241",".433",".355","0.788","40","5"
"Voit III, Luke","572228","2020","29","213","59","22",".277",".610",".338","0.948","52","0"
"Walker, Christian","572233","2020","29","218","59","7",".271",".459",".333","0.792","34","1"
"Dickerson, Corey","572816","2020","31","194","50","7",".258",".402",".311","0.713","17","1"
"Yastrzemski, Mike","573262","2020","29","192","57","10",".297",".568",".400","0.968","35","2"
"Contreras, Willson","575929","2020","28","189","46","7",".243",".407",".356","0.763","26","1"
"Canha, Mark","592192","2020","31","191","47","5",".246",".408",".387","0.795","33","4"
"Castellanos, Nick","592206","2020","28","218","49","14",".225",".486",".298","0.784","34","0"
"Machado, Manny","592518","2020","27","224","68","16",".304",".580",".370","0.950","47","6"
"Moran, Colin","592567","2020","27","178","44","10",".247",".472",".325","0.797","23","0"
"Realmuto, J.T.","592663","2020","29","173","46","11",".266",".491",".349","0.840","32","4"
"Rosario, Eddie","592696","2020","28","210","54","13",".257",".476",".316","0.792","42","3"
"Yelich, Christian","592885","2020","28","200","41","12",".205",".430",".356","0.786","22","4"
"Merrifield, Whit","593160","2020","31","248","70","9",".282",".440",".325","0.765","30","12"
"Bogaerts, Xander","593428","2020","27","203","61","11",".300",".502",".364","0.866","28","8"
"Alberto, Hanser","593643","2020","27","219","62","3",".283",".393",".306","0.699","22","3"
"Polanco, Jorge","593871","2020","26","209","54","4",".258",".354",".304","0.658","19","4"
"Sanó, Miguel","593934","2020","27","186","38","13",".204",".478",".278","0.756","25","0"
"Calhoun, Kole","594777","2020","32","190","43","16",".226",".526",".338","0.864","40","1"
"Duvall, Adam","594807","2020","31","190","45","16",".237",".532",".301","0.833","33","0"
"Profar, Jurickson","595777","2020","27","180","50","7",".278",".428",".343","0.771","25","7"
"Báez, Javier","595879","2020","27","222","45","8",".203",".360",".238","0.598","24","3"
"Lindor, Francisco","596019","2020","26","236","61","8",".258",".415",".335","0.750","27","6"
"Story, Trevor","596115","2020","27","235","68","11",".289",".519",".355","0.874","28","15"
"Kepler, Max","596146","2020","27","171","39","9",".228",".439",".321","0.760","23","3"
"Franco, Maikel","596748","2020","27","223","62","8",".278",".457",".321","0.778","38","1"
"Bradley Jr., Jackie","598265","2020","30","191","54","7",".283",".450",".364","0.814","22","5"
"La Stella, Tommy","600303","2020","31","196","55","5",".281",".449",".370","0.819","25","1"
"Núñez, Renato","600524","2020","26","195","50","12",".256",".492",".324","0.816","31","0"
"Candelario, Jeimer","600869","2020","26","185","55","7",".297",".503",".369","0.872","29","1"
"Ahmed, Nick","605113","2020","30","199","53","5",".266",".402",".327","0.729","29","4"
"Anderson, Brian","605119","2020","27","200","51","11",".255",".465",".345","0.810","38","0"
"Bell, Josh","605137","2020","27","195","44","8",".226",".364",".305","0.669","22","0"
"Betts, Mookie","605141","2020","27","219","64","16",".292",".562",".366","0.928","39","10"
"Davis, J.D.","605204","2020","27","190","47","6",".247",".389",".371","0.760","19","0"
"Arcia, Orlando","606115","2020","25","173","45","5",".260",".416",".317","0.733","20","2"
"Tapia, Raimel","606132","2020","26","184","59","1",".321",".402",".369","0.771","17","8"
"Hernández, Teoscar","606192","2020","27","190","55","16",".289",".579",".340","0.919","34","6"
"Marte, Ketel","606466","2020","26","181","52","2",".287",".409",".323","0.732","17","1"
"Nimmo, Brandon","607043","2020","27","186","52","8",".280",".484",".404","0.888","18","1"
"Turner, Trea","607208","2020","27","233","78","12",".335",".588",".394","0.982","41","11"
"Pillar, Kevin","607680","2020","31","208","60","6",".288",".462",".336","0.798","26","5"
"Ramírez, José","608070","2020","27","219","64","17",".292",".607",".386","0.993","46","10"
"Gallo, Joey","608336","2020","26","193","35","10",".181",".378",".301","0.679","26","2"
"Seager, Corey","608369","2020","26","212","65","15",".307",".585",".358","0.943","41","1"
"Mondesi, Adalberto","609275","2020","24","219","56","6",".256",".416",".294","0.710","22","24"
"Reyes, Franmil","614177","2020","24","211","58","9",".275",".450",".344","0.794","34","0"
"Swanson, Dansby","621020","2020","26","237","65","10",".274",".464",".345","0.809","35","5"
"Taylor, Chris","621035","2020","29","185","50","8",".270",".476",".366","0.842","32","3"
"Correa, Carlos","621043","2020","25","201","53","5",".264",".383",".326","0.709","25","0"
"Olson, Matt","621566","2020","26","210","41","14",".195",".424",".310","0.734","42","1"
"Reyes, Victor","622682","2020","25","202","56","4",".277",".391",".315","0.706","14","7"
"Alonso, Pete","624413","2020","25","208","48","16",".231",".490",".326","0.816","35","1"
"Biggio, Cavan","624415","2020","25","220","55","8",".250",".432",".375","0.807","28","6"
"Conforto, Michael","624424","2020","27","202","65","9",".322",".515",".412","0.927","31","3"
"Frazier, Adam","624428","2020","28","209","48","7",".230",".364",".297","0.661","23","1"
"Cronenworth, Jake","630105","2020","26","172","49","4",".285",".477",".354","0.831","20","3"
"Anderson, Tim","641313","2020","27","208","67","10",".322",".529",".357","0.886","21","4"
"Bellinger, Cody","641355","2020","24","213","51","12",".239",".455",".333","0.788","30","6"
"Crawford, J.P.","641487","2020","25","204","52","2",".255",".338",".336","0.674","24","6"
